time,event
2021-08-23 15:49:17.075, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:49:17.122, sent ack
2021-08-23 15:49:18.082, sent commodity read request
2021-08-23 15:49:18.284, received ack
2021-08-23 15:49:18.389, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x01 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x0c
2021-08-23 15:49:18.436, sent ack
2021-08-23 15:49:19.434, sent commodity read request
2021-08-23 15:49:19.596, received ack
2021-08-23 15:49:19.702, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x01 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x0c
2021-08-23 15:49:19.748, sent ack
2021-08-23 15:49:20.427, sent loadup
2021-08-23 15:49:20.549, waiting for message timeout -- Timout!
2021-08-23 15:49:20.614, received ack
2021-08-23 15:49:20.720, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:49:20.768, sent ack
2021-08-23 15:49:24.027, sent commodity read request
2021-08-23 15:49:24.240, received ack
2021-08-23 15:49:24.251, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x0a 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x48
2021-08-23 15:49:24.299, sent ack
2021-08-23 15:49:27.058, sent commodity read request
2021-08-23 15:49:27.102, waiting for message timeout -- Timout!
2021-08-23 15:49:27.271, received ack
2021-08-23 15:49:27.277, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x12 0x00; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0xc0
2021-08-23 15:49:27.323, sent ack
2021-08-23 15:49:29.002, sent commodity read request
2021-08-23 15:49:29.188, received ack
2021-08-23 15:49:29.194, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x12 0x00; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0xc0
2021-08-23 15:49:29.242, sent ack
2021-08-23 15:49:29.915, sent loadup
2021-08-23 15:49:30.043, waiting for message timeout -- Timout!
2021-08-23 15:49:30.103, received ack
2021-08-23 15:49:30.109, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:49:30.158, sent ack
2021-08-23 15:49:31.483, sent commodity read request
2021-08-23 15:49:31.722, received ack
2021-08-23 15:49:31.730, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x1c 0x20; cumulative_amount=default
2021-08-23 15:49:31.777, sent ack
2021-08-23 15:49:35.781, waiting for message timeout -- Timout!
2021-08-23 15:49:35.795, sent commodity read request
2021-08-23 15:49:36.051, received ack
2021-08-23 15:49:36.057, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:49:36.106, sent ack
2021-08-23 15:49:37.243, sent commodity read request
2021-08-23 15:49:37.308, waiting for message timeout -- Timout!
2021-08-23 15:49:37.467, received ack
2021-08-23 15:49:37.472, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:49:37.519, sent ack
2021-08-23 15:49:38.227, sent commodity read request
2021-08-23 15:49:38.320, waiting for message timeout -- Timout!
2021-08-23 15:49:38.480, received ack
2021-08-23 15:49:38.485, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:49:38.533, sent ack
2021-08-23 15:49:39.060, sent loadup
2021-08-23 15:49:39.299, received ack
2021-08-23 15:49:39.304, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:49:39.350, sent ack
2021-08-23 15:49:40.151, waiting for message timeout -- Timout!
2021-08-23 15:49:40.171, sent commodity read request
2021-08-23 15:49:40.311, received ack
2021-08-23 15:49:40.418, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:49:40.465, sent ack
2021-08-23 15:51:52.685, sent commodity read request
2021-08-23 15:51:52.820, received ack
2021-08-23 15:51:52.927, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0xf4
2021-08-23 15:51:52.974, sent ack
2021-08-23 15:51:54.942, sent commodity read request
2021-08-23 15:51:54.977, waiting for message timeout -- Timout!
2021-08-23 15:51:55.142, received ack
2021-08-23 15:51:55.248, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0xf4
2021-08-23 15:51:55.295, sent ack
2021-08-23 15:51:56.749, sent loadup
2021-08-23 15:51:56.896, waiting for message timeout -- Timout!
2021-08-23 15:51:56.967, received ack
2021-08-23 15:51:57.071, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:51:57.117, sent ack
2021-08-23 15:51:58.462, sent commodity read request
2021-08-23 15:51:58.682, received ack
2021-08-23 15:51:58.791, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:51:58.837, sent ack
2021-08-23 15:52:00.341, sent commodity read request
2021-08-23 15:52:00.440, waiting for message timeout -- Timout!
2021-08-23 15:52:00.504, received ack
2021-08-23 15:52:00.511, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:00.559, sent ack
2021-08-23 15:52:01.750, sent commodity read request
2021-08-23 15:52:01.764, waiting for message timeout -- Timout!
2021-08-23 15:52:01.920, received ack
2021-08-23 15:52:01.926, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:01.974, sent ack
2021-08-23 15:52:32.485, received intermediate mtsq
2021-08-23 15:52:32.532, sent ack
2021-08-23 15:52:32.692, received data-link mtsq
2021-08-23 15:52:32.741, sent ack
2021-08-23 15:52:32.900, received max payload request
2021-08-23 15:52:32.946, sent ack
2021-08-23 15:52:32.990, sent max payload response
2021-08-23 15:52:33.105, received ack
2021-08-23 15:52:33.209, received basic mtsq
2021-08-23 15:52:33.258, sent ack
2021-08-23 15:52:34.038, sent commodity read request
2021-08-23 15:52:34.059, waiting for message timeout -- Timout!
2021-08-23 15:52:34.120, received ack
2021-08-23 15:52:34.227, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:34.274, sent ack
2021-08-23 15:52:35.142, sent commodity read request
2021-08-23 15:52:35.237, received ack
2021-08-23 15:52:35.345, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:35.390, sent ack
2021-08-23 15:52:36.558, sent commodity read request
2021-08-23 15:52:36.591, waiting for message timeout -- Timout!
2021-08-23 15:52:36.659, received ack
2021-08-23 15:52:36.766, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:36.813, sent ack
2021-08-23 15:52:37.158, sent loadup
2021-08-23 15:52:37.214, waiting for message timeout -- Timout!
2021-08-23 15:52:37.374, received ack
2021-08-23 15:52:37.378, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:52:37.427, sent ack
2021-08-23 15:52:38.975, sent commodity read request
2021-08-23 15:52:39.029, waiting for message timeout -- Timout!
2021-08-23 15:52:39.091, received ack
2021-08-23 15:52:39.198, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:39.244, sent ack
2021-08-23 15:52:42.446, sent commodity read request
2021-08-23 15:52:42.447, waiting for message timeout -- Timout!
2021-08-23 15:52:42.620, received ack
2021-08-23 15:52:42.726, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:42.773, sent ack
2021-08-23 15:52:45.415, sent commodity read request
2021-08-23 15:52:45.544, received ack
2021-08-23 15:52:45.649, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:45.698, sent ack
2021-08-23 15:52:52.791, sent commodity read request
2021-08-23 15:52:52.903, waiting for message timeout -- Timout!
2021-08-23 15:52:52.982, received ack
2021-08-23 15:52:53.089, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:53.136, sent ack
2021-08-23 15:52:56.951, sent commodity read request
2021-08-23 15:52:57.107, received ack
2021-08-23 15:52:57.214, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:57.263, sent ack
2021-08-23 15:52:58.246, sent commodity read request
2021-08-23 15:52:58.423, received ack
2021-08-23 15:52:58.530, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:58.577, sent ack
2021-08-23 15:52:59.263, sent commodity read request
2021-08-23 15:52:59.377, waiting for message timeout -- Timout!
2021-08-23 15:52:59.438, received ack
2021-08-23 15:52:59.544, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:52:59.591, sent ack
2021-08-23 15:53:00.335, sent commodity read request
2021-08-23 15:53:00.392, waiting for message timeout -- Timout!
2021-08-23 15:53:00.450, received ack
2021-08-23 15:53:00.556, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:00.602, sent ack
2021-08-23 15:53:01.582, sent commodity read request
2021-08-23 15:53:01.769, received ack
2021-08-23 15:53:01.876, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:01.924, sent ack
2021-08-23 15:53:02.726, waiting for message timeout -- Timout!
2021-08-23 15:53:02.742, sent commodity read request
2021-08-23 15:53:02.891, received ack
2021-08-23 15:53:02.998, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:03.045, sent ack
2021-08-23 15:53:04.143, sent commodity read request
2021-08-23 15:53:04.246, waiting for message timeout -- Timout!
2021-08-23 15:53:04.309, received ack
2021-08-23 15:53:04.420, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:04.468, sent ack
2021-08-23 15:53:05.031, sent commodity read request
2021-08-23 15:53:05.229, received ack
2021-08-23 15:53:05.236, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:05.282, sent ack
2021-08-23 15:53:05.807, sent commodity read request
2021-08-23 15:53:06.047, received ack
2021-08-23 15:53:06.053, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:06.101, sent ack
2021-08-23 15:53:06.502, waiting for message timeout -- Timout!
2021-08-23 15:53:06.535, sent commodity read request
2021-08-23 15:53:06.766, received ack
2021-08-23 15:53:06.771, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:06.818, sent ack
2021-08-23 15:53:07.391, sent commodity read request
2021-08-23 15:53:07.583, received ack
2021-08-23 15:53:07.592, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:07.639, sent ack
2021-08-23 15:53:08.232, sent commodity read request
2021-08-23 15:53:08.401, received ack
2021-08-23 15:53:08.406, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:08.453, sent ack
2021-08-23 15:53:08.830, sent commodity read request
2021-08-23 15:53:08.855, waiting for message timeout -- Timout!
2021-08-23 15:53:09.013, received ack
2021-08-23 15:53:09.018, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:09.064, sent ack
2021-08-23 15:53:09.558, sent commodity read request
2021-08-23 15:53:09.725, received ack
2021-08-23 15:53:09.733, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:09.781, sent ack
2021-08-23 15:53:10.295, sent commodity read request
2021-08-23 15:53:10.543, received ack
2021-08-23 15:53:10.549, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:10.595, sent ack
2021-08-23 15:53:10.991, sent commodity read request
2021-08-23 15:53:11.004, waiting for message timeout -- Timout!
2021-08-23 15:53:11.259, received ack
2021-08-23 15:53:11.264, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:11.309, sent ack
2021-08-23 15:53:11.710, waiting for message timeout -- Timout!
2021-08-23 15:53:11.718, sent commodity read request
2021-08-23 15:53:11.871, received ack
2021-08-23 15:53:11.979, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:12.026, sent ack
2021-08-23 15:53:12.426, waiting for message timeout -- Timout!
2021-08-23 15:53:12.439, sent commodity read request
2021-08-23 15:53:12.586, received ack
2021-08-23 15:53:12.694, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:12.740, sent ack
2021-08-23 15:53:13.141, waiting for message timeout -- Timout!
2021-08-23 15:53:13.159, sent commodity read request
2021-08-23 15:53:13.300, received ack
2021-08-23 15:53:13.407, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:13.453, sent ack
2021-08-23 15:53:13.759, sent commodity read request
2021-08-23 15:53:13.854, waiting for message timeout -- Timout!
2021-08-23 15:53:13.914, received ack
2021-08-23 15:53:14.022, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:14.073, sent ack
2021-08-23 15:53:14.399, sent commodity read request
2021-08-23 15:53:14.473, waiting for message timeout -- Timout!
2021-08-23 15:53:14.534, received ack
2021-08-23 15:53:14.640, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:14.686, sent ack
2021-08-23 15:53:14.951, sent commodity read request
2021-08-23 15:53:15.045, received ack
2021-08-23 15:53:15.153, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:15.201, sent ack
2021-08-23 15:53:15.542, sent commodity read request
2021-08-23 15:53:15.601, waiting for message timeout -- Timout!
2021-08-23 15:53:15.660, received ack
2021-08-23 15:53:15.766, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:15.812, sent ack
2021-08-23 15:53:16.151, sent commodity read request
2021-08-23 15:53:16.212, waiting for message timeout -- Timout!
2021-08-23 15:53:16.274, received ack
2021-08-23 15:53:16.380, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:16.427, sent ack
2021-08-23 15:53:16.696, sent commodity read request
2021-08-23 15:53:16.827, waiting for message timeout -- Timout!
2021-08-23 15:53:16.887, received ack
2021-08-23 15:53:16.995, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:17.042, sent ack
2021-08-23 15:53:17.359, sent commodity read request
2021-08-23 15:53:17.443, waiting for message timeout -- Timout!
2021-08-23 15:53:17.503, received ack
2021-08-23 15:53:17.609, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:53:17.655, sent ack
2021-08-23 15:53:18.023, sent commodity read request
2021-08-23 15:53:18.056, waiting for message timeout -- Timout!
2021-08-23 15:53:18.216, received ack
2021-08-23 15:53:18.323, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x01 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x0c
2021-08-23 15:53:18.369, sent ack
2021-08-23 15:53:18.712, sent commodity read request
2021-08-23 15:53:18.769, waiting for message timeout -- Timout!
2021-08-23 15:53:18.829, received ack
2021-08-23 15:53:18.935, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x01 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x0c
2021-08-23 15:53:18.981, sent ack
2021-08-23 15:53:20.368, sent loadup
2021-08-23 15:53:20.544, received ack
2021-08-23 15:53:20.649, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:53:20.695, sent ack
2021-08-23 15:53:21.639, sent commodity read request
2021-08-23 15:53:21.756, received ack
2021-08-23 15:53:21.862, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x0a 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x48
2021-08-23 15:53:21.909, sent ack
2021-08-23 15:53:41.320, sent commodity read request
2021-08-23 15:53:41.447, received ack
2021-08-23 15:53:41.554, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x1c 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0x74
2021-08-23 15:53:41.604, sent ack
2021-08-23 15:53:45.031, sent commodity read request
2021-08-23 15:53:45.176, received ack
2021-08-23 15:53:45.283, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x1c 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0xc4
2021-08-23 15:53:45.330, sent ack
2021-08-23 15:53:50.999, sent commodity read request
2021-08-23 15:53:51.214, received ack
2021-08-23 15:53:51.321, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x1c 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0xc4
2021-08-23 15:53:51.367, sent ack
2021-08-23 15:53:53.192, sent commodity read request
2021-08-23 15:53:53.331, received ack
2021-08-23 15:53:53.438, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x1c 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0xc4
2021-08-23 15:53:53.484, sent ack
2021-08-23 15:53:55.151, sent commodity read request
2021-08-23 15:53:55.348, received ack
2021-08-23 15:53:55.455, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0xc4
2021-08-23 15:53:55.501, sent ack
2021-08-23 15:53:57.175, sent commodity read request
2021-08-23 15:53:57.367, received ack
2021-08-23 15:53:57.476, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0xc4
2021-08-23 15:53:57.523, sent ack
2021-08-23 15:53:58.664, sent loadup
2021-08-23 15:53:58.724, waiting for message timeout -- Timout!
2021-08-23 15:53:58.886, received ack
2021-08-23 15:53:58.991, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:53:59.038, sent ack
2021-08-23 15:54:00.992, sent commodity read request
2021-08-23 15:54:01.039, waiting for message timeout -- Timout!
2021-08-23 15:54:01.208, received ack
2021-08-23 15:54:01.214, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x01 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x3c
2021-08-23 15:54:01.260, sent ack
