time,event
2021-08-23 15:54:44.030, received intermediate mtsq
2021-08-23 15:54:44.078, sent ack
2021-08-23 15:54:44.236, received data-link mtsq
2021-08-23 15:54:44.295, sent ack
2021-08-23 15:54:44.456, received max payload request
2021-08-23 15:54:44.510, sent ack
2021-08-23 15:54:44.554, sent max payload response
2021-08-23 15:54:44.766, received ack
2021-08-23 15:54:44.770, received basic mtsq
2021-08-23 15:54:44.816, sent ack
2021-08-23 15:54:45.665, sent commodity read request
2021-08-23 15:54:45.881, received ack
2021-08-23 15:54:45.887, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:54:45.933, sent ack
2021-08-23 15:54:46.640, sent loadup
2021-08-23 15:54:46.734, waiting for message timeout -- Timout!
2021-08-23 15:54:46.799, received ack
2021-08-23 15:54:46.804, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:54:46.850, sent ack
2021-08-23 15:54:49.305, sent commodity read request
2021-08-23 15:54:49.521, received ack
2021-08-23 15:54:49.531, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:54:49.580, sent ack
2021-08-23 15:54:52.522, sent commodity read request
2021-08-23 15:54:52.752, received ack
2021-08-23 15:54:52.758, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:54:52.805, sent ack
2021-08-23 15:54:55.089, sent commodity read request
2021-08-23 15:54:55.208, waiting for message timeout -- Timout!
2021-08-23 15:54:55.272, received ack
2021-08-23 15:54:55.279, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:54:55.324, sent ack
2021-08-23 15:54:57.561, sent commodity read request
2021-08-23 15:54:57.727, waiting for message timeout -- Timout!
2021-08-23 15:54:57.791, received ack
2021-08-23 15:54:57.797, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:54:57.843, sent ack
2021-08-23 15:55:01.649, sent commodity read request
2021-08-23 15:55:01.814, received ack
2021-08-23 15:55:01.820, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:55:01.867, sent ack
2021-08-23 15:55:03.961, sent commodity read request
2021-08-23 15:55:04.139, received ack
2021-08-23 15:55:04.145, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:55:04.193, sent ack
2021-08-23 15:55:12.490, sent commodity read request
2021-08-23 15:55:12.598, waiting for message timeout -- Timout!
2021-08-23 15:55:12.682, received ack
2021-08-23 15:55:12.687, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:55:12.734, sent ack
2021-08-23 15:55:15.874, sent commodity read request
2021-08-23 15:55:15.938, waiting for message timeout -- Timout!
2021-08-23 15:55:16.106, received ack
2021-08-23 15:55:16.113, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:55:16.160, sent ack
2021-08-23 15:55:17.714, sent commodity read request
2021-08-23 15:55:17.762, waiting for message timeout -- Timout!
2021-08-23 15:55:17.928, received ack
2021-08-23 15:55:17.934, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:55:17.986, sent ack
2021-08-23 15:55:19.937, sent commodity read request
2021-08-23 15:55:19.987, waiting for message timeout -- Timout!
2021-08-23 15:55:20.150, received ack
2021-08-23 15:55:20.155, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:55:20.201, sent ack
2021-08-23 15:55:22.658, sent commodity read request
2021-08-23 15:55:22.770, received ack
2021-08-23 15:55:22.876, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:55:22.923, sent ack
2021-08-23 15:55:24.002, sent commodity read request
2021-08-23 15:55:24.124, waiting for message timeout -- Timout!
2021-08-23 15:55:24.185, received ack
2021-08-23 15:55:24.191, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 15:55:24.238, sent ack
2021-08-23 15:55:25.130, sent loadup
2021-08-23 15:55:25.401, received ack
2021-08-23 15:55:25.404, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:55:25.452, sent ack
2021-08-23 15:55:31.370, sent commodity read request
2021-08-23 15:55:31.459, waiting for message timeout -- Timout!
2021-08-23 15:55:31.534, received ack
2021-08-23 15:55:31.640, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x0a 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x6c
2021-08-23 15:55:31.688, sent ack
2021-08-23 15:55:33.930, sent commodity read request
2021-08-23 15:55:34.154, received ack
2021-08-23 15:55:34.161, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x0a 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x6c
2021-08-23 15:55:34.211, sent ack
2021-08-23 15:55:34.946, sent commodity read request
2021-08-23 15:55:35.011, waiting for message timeout -- Timout!
2021-08-23 15:55:35.073, received ack
2021-08-23 15:55:35.180, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x0a 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x6c
2021-08-23 15:55:35.226, sent ack
2021-08-23 15:55:35.937, sent loadup
2021-08-23 15:55:36.026, waiting for message timeout -- Timout!
2021-08-23 15:55:36.186, received ack
2021-08-23 15:55:36.190, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:55:36.238, sent ack
2021-08-23 15:55:38.074, sent commodity read request
2021-08-23 15:55:38.201, received ack
2021-08-23 15:55:38.309, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x1c 0x20; cumulative_amount=default
2021-08-23 15:55:38.357, sent ack
2021-08-23 15:55:39.158, waiting for message timeout -- Timout!
2021-08-23 15:55:39.178, sent commodity read request
2021-08-23 15:55:39.317, received ack
2021-08-23 15:55:39.424, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x1c 0x20; cumulative_amount=default
2021-08-23 15:55:39.474, sent ack
2021-08-23 15:55:40.634, sent commodity read request
2021-08-23 15:55:40.675, waiting for message timeout -- Timout!
2021-08-23 15:55:40.750, received ack
2021-08-23 15:55:40.857, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x1c 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x50
2021-08-23 15:55:40.904, sent ack
2021-08-23 15:55:41.874, sent commodity read request
2021-08-23 15:55:42.066, received ack
2021-08-23 15:55:42.173, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x1c 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x50
2021-08-23 15:55:42.219, sent ack
2021-08-23 15:55:42.946, sent loadup
2021-08-23 15:55:43.020, waiting for message timeout -- Timout!
2021-08-23 15:55:43.081, received ack
2021-08-23 15:55:43.187, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 15:55:43.235, sent ack
2021-08-23 15:55:45.034, sent commodity read request
2021-08-23 15:55:45.201, received ack
2021-08-23 16:04:59.110, received intermediate mtsq
2021-08-23 16:04:59.164, sent ack
2021-08-23 16:04:59.325, received data-link mtsq
2021-08-23 16:04:59.375, sent ack
2021-08-23 16:04:59.532, received max payload request
2021-08-23 16:04:59.578, sent ack
2021-08-23 16:04:59.623, sent max payload response
2021-08-23 16:04:59.837, received ack
2021-08-23 16:04:59.840, received basic mtsq
2021-08-23 16:04:59.886, sent ack
2021-08-23 16:05:00.581, sent commodity read request
2021-08-23 16:05:00.687, waiting for message timeout -- Timout!
2021-08-23 16:05:00.749, received ack
2021-08-23 16:05:00.756, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:00.804, sent ack
2021-08-23 16:05:02.085, sent commodity read request
2021-08-23 16:05:02.272, received ack
2021-08-23 16:05:02.278, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:02.324, sent ack
2021-08-23 16:05:02.908, sent loadup
2021-08-23 16:05:03.126, waiting for message timeout -- Timout!
2021-08-23 16:05:03.286, received ack
2021-08-23 16:05:03.290, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 16:05:03.335, sent ack
2021-08-23 16:05:05.813, sent commodity read request
2021-08-23 16:05:06.004, received ack
2021-08-23 16:05:06.010, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:06.058, sent ack
2021-08-23 16:05:07.214, sent commodity read request
2021-08-23 16:05:07.261, waiting for message timeout -- Timout!
2021-08-23 16:05:07.431, received ack
2021-08-23 16:05:07.438, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:07.489, sent ack
2021-08-23 16:05:08.957, sent commodity read request
2021-08-23 16:05:09.090, waiting for message timeout -- Timout!
2021-08-23 16:05:09.151, received ack
2021-08-23 16:05:09.157, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:09.206, sent ack
2021-08-23 16:05:10.965, sent commodity read request
2021-08-23 16:05:11.076, received ack
2021-08-23 16:05:11.183, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:11.231, sent ack
2021-08-23 16:05:12.229, sent commodity read request
2021-08-23 16:05:12.393, received ack
2021-08-23 16:05:12.500, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:12.551, sent ack
2021-08-23 16:05:13.710, sent commodity read request
2021-08-23 16:05:13.752, waiting for message timeout -- Timout!
2021-08-23 16:05:13.810, received ack
2021-08-23 16:05:13.918, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:13.965, sent ack
2021-08-23 16:05:14.974, sent commodity read request
2021-08-23 16:05:15.132, received ack
2021-08-23 16:05:15.239, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:15.287, sent ack
2021-08-23 16:05:16.489, waiting for message timeout -- Timout!
2021-08-23 16:05:16.525, sent commodity read request
2021-08-23 16:05:16.651, received ack
2021-08-23 16:05:16.759, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:16.808, sent ack
2021-08-23 16:05:18.810, waiting for message timeout -- Timout!
2021-08-23 16:05:18.814, sent loadup
2021-08-23 16:05:18.975, received ack
2021-08-23 16:05:19.080, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 16:05:19.127, sent ack
2021-08-23 16:05:21.926, sent commodity read request
2021-08-23 16:05:21.937, waiting for message timeout -- Timout!
2021-08-23 16:05:22.099, received ack
2021-08-23 16:05:22.206, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:22.252, sent ack
2021-08-23 16:05:26.253, sent commodity read request
2021-08-23 16:05:26.269, waiting for message timeout -- Timout!
2021-08-23 16:05:26.424, received ack
2021-08-23 16:05:26.531, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:05:26.577, sent ack
2021-08-23 16:05:33.301, sent loadup
2021-08-23 16:05:33.382, waiting for message timeout -- Timout!
2021-08-23 16:05:33.472, received ack
2021-08-23 16:05:33.576, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 16:05:33.623, sent ack
2021-08-23 16:05:43.414, sent commodity read request
2021-08-23 16:05:43.630, waiting for message timeout -- Timout!
2021-08-23 16:05:43.631, received ack
2021-08-23 16:05:43.738, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x1c 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0x04
2021-08-23 16:05:43.784, sent ack
2021-08-23 16:05:44.509, sent commodity read request
2021-08-23 16:05:44.585, waiting for message timeout -- Timout!
2021-08-23 16:05:44.647, received ack
2021-08-23 16:05:44.755, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=0x00 0x00 0x00 0x00 0x1c 0x20; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0x04
2021-08-23 16:05:44.804, sent ack
2021-08-23 16:05:46.294, sent commodity read request
2021-08-23 16:05:46.406, waiting for message timeout -- Timout!
2021-08-23 16:05:46.467, received ack
2021-08-23 16:05:46.574, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0x04
2021-08-23 16:05:46.620, sent ack
2021-08-23 16:05:47.822, waiting for message timeout -- Timout!
2021-08-23 16:05:47.846, sent commodity read request
2021-08-23 16:05:47.985, received ack
2021-08-23 16:05:48.090, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=0x00 0x00 0x00 0x00 0x01 0x04
2021-08-23 16:05:48.140, sent ack
2021-08-23 16:05:59.870, sent loadup
2021-08-23 16:06:00.034, received ack
2021-08-23 16:06:00.140, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 16:06:00.187, sent ack
2021-08-23 16:06:05.142, sent commodity read request
2021-08-23 16:06:05.374, received ack
2021-08-23 16:06:05.380, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=0x00 0x00 0x00 0x00 0x00 0x5c
2021-08-23 16:06:05.432, sent ack
2021-08-23 16:06:09.175, sent commodity read request
2021-08-23 16:06:09.408, received ack
2021-08-23 16:48:58.690, received intermediate mtsq
2021-08-23 16:48:58.736, sent ack
2021-08-23 16:48:58.894, received data-link mtsq
2021-08-23 16:48:58.940, sent ack
2021-08-23 16:48:59.098, received max payload request
2021-08-23 16:48:59.147, sent ack
2021-08-23 16:48:59.191, sent max payload response
2021-08-23 16:48:59.303, received ack
2021-08-23 16:48:59.407, received basic mtsq
2021-08-23 16:48:59.453, sent ack
2021-08-23 16:49:01.170, sent commodity read request
2021-08-23 16:49:01.320, received ack
2021-08-23 16:49:01.427, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:49:01.475, sent ack
2021-08-23 16:49:02.522, sent commodity read request
2021-08-23 16:49:02.640, received ack
2021-08-23 16:49:02.748, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:49:02.797, sent ack
2021-08-23 16:49:04.154, sent loadup
2021-08-23 16:49:04.398, waiting for message timeout -- Timout!
2021-08-23 16:49:24.161, received intermediate mtsq
2021-08-23 16:49:24.207, sent ack
2021-08-23 16:49:24.366, received data-link mtsq
2021-08-23 16:49:24.412, sent ack
2021-08-23 16:49:24.571, received max payload request
2021-08-23 16:49:24.616, sent ack
2021-08-23 16:49:24.661, sent max payload response
2021-08-23 16:49:24.875, received ack
2021-08-23 16:49:24.879, received basic mtsq
2021-08-23 16:49:24.926, sent ack
2021-08-23 16:49:26.074, sent loadup
2021-08-23 16:49:26.127, waiting for message timeout -- Timout!
2021-08-23 16:51:03.141, received intermediate mtsq
2021-08-23 16:51:03.188, sent ack
2021-08-23 16:51:03.345, received data-link mtsq
2021-08-23 16:51:03.391, sent ack
2021-08-23 16:51:03.549, received max payload request
2021-08-23 16:51:03.594, sent ack
2021-08-23 16:51:03.638, sent max payload response
2021-08-23 16:51:03.854, received ack
2021-08-23 16:51:03.858, received basic mtsq
2021-08-23 16:51:03.903, sent ack
2021-08-23 16:51:05.869, sent commodity read request
2021-08-23 16:51:05.905, waiting for message timeout -- Timout!
2021-08-23 16:51:06.088, received ack
2021-08-23 16:51:06.094, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:06.141, sent ack
2021-08-23 16:51:07.549, sent loadup
2021-08-23 16:51:07.743, waiting for message timeout -- Timout!
2021-08-23 16:51:07.906, received ack
2021-08-23 16:51:07.912, received app ack args ==> reserved=default; last_opcode=0x17
2021-08-23 16:51:07.958, sent ack
2021-08-23 16:51:14.460, sent commodity read request
2021-08-23 16:51:14.642, received ack
2021-08-23 16:51:14.748, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:14.795, sent ack
2021-08-23 16:51:22.109, sent commodity read request
2021-08-23 16:51:22.278, received ack
2021-08-23 16:51:22.285, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:22.333, sent ack
2021-08-23 16:51:25.429, sent commodity read request
2021-08-23 16:51:25.535, waiting for message timeout -- Timout!
2021-08-23 16:51:25.607, received ack
2021-08-23 16:51:25.614, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:25.661, sent ack
2021-08-23 16:51:28.064, waiting for message timeout -- Timout!
2021-08-23 16:51:28.094, sent commodity read request
2021-08-23 16:51:28.329, received ack
2021-08-23 16:51:28.337, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:28.383, sent ack
2021-08-23 16:51:29.485, sent commodity read request
2021-08-23 16:51:29.584, waiting for message timeout -- Timout!
2021-08-23 16:51:29.648, received ack
2021-08-23 16:51:29.654, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:29.701, sent ack
2021-08-23 16:51:31.806, sent commodity read request
2021-08-23 16:51:31.975, received ack
2021-08-23 16:51:31.981, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:32.027, sent ack
2021-08-23 16:51:33.845, sent commodity read request
2021-08-23 16:51:34.029, waiting for message timeout -- Timout!
2021-08-23 16:51:34.098, received ack
2021-08-23 16:51:34.104, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:34.152, sent ack
2021-08-23 16:51:35.598, sent commodity read request
2021-08-23 16:51:35.753, waiting for message timeout -- Timout!
2021-08-23 16:51:35.816, received ack
2021-08-23 16:51:35.821, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:35.870, sent ack
2021-08-23 16:51:37.534, sent commodity read request
2021-08-23 16:51:37.649, received ack
2021-08-23 16:51:37.757, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:37.805, sent ack
2021-08-23 16:51:39.086, sent commodity read request
2021-08-23 16:51:39.272, received ack
2021-08-23 16:51:39.378, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:39.426, sent ack
2021-08-23 16:51:41.158, sent commodity read request
2021-08-23 16:51:41.290, received ack
2021-08-23 16:51:41.398, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:41.444, sent ack
2021-08-23 16:51:42.990, sent commodity read request
2021-08-23 16:51:43.046, waiting for message timeout -- Timout!
2021-08-23 16:51:43.108, received ack
2021-08-23 16:51:43.214, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:43.265, sent ack
2021-08-23 16:51:44.429, sent commodity read request
2021-08-23 16:51:44.465, waiting for message timeout -- Timout!
2021-08-23 16:51:44.624, received ack
2021-08-23 16:51:44.732, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:44.778, sent ack
2021-08-23 16:51:45.981, waiting for message timeout -- Timout!
2021-08-23 16:51:46.022, sent commodity read request
2021-08-23 16:51:46.143, received ack
2021-08-23 16:51:46.251, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:46.299, sent ack
2021-08-23 16:51:47.206, sent commodity read request
2021-08-23 16:51:47.364, received ack
2021-08-23 16:51:47.471, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:47.517, sent ack
2021-08-23 16:51:49.654, sent commodity read request
2021-08-23 16:51:49.785, received ack
2021-08-23 16:51:49.891, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:49.938, sent ack
2021-08-23 16:51:51.221, sent commodity read request
2021-08-23 16:51:51.403, received ack
2021-08-23 16:51:51.512, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:51.558, sent ack
2021-08-23 16:51:52.574, sent commodity read request
2021-08-23 16:51:52.721, received ack
2021-08-23 16:51:52.828, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:52.874, sent ack
2021-08-23 16:51:54.293, sent commodity read request
2021-08-23 16:51:54.438, received ack
2021-08-23 16:51:54.544, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:54.590, sent ack
2021-08-23 16:51:55.981, sent commodity read request
2021-08-23 16:51:56.154, received ack
2021-08-23 16:51:56.259, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:56.305, sent ack
2021-08-23 16:51:57.157, sent commodity read request
2021-08-23 16:51:57.374, received ack
2021-08-23 16:51:57.383, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:57.432, sent ack
2021-08-23 16:51:58.333, sent commodity read request
2021-08-23 16:51:58.495, received ack
2021-08-23 16:51:58.501, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:51:58.547, sent ack
2021-08-23 16:52:00.765, sent commodity read request
2021-08-23 16:52:00.918, received ack
2021-08-23 16:52:00.924, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:52:00.972, sent ack
2021-08-23 16:52:02.053, sent commodity read request
2021-08-23 16:52:02.174, waiting for message timeout -- Timout!
2021-08-23 16:52:02.236, received ack
2021-08-23 16:52:02.241, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:52:02.287, sent ack
2021-08-23 16:52:03.206, sent commodity read request
2021-08-23 16:52:03.454, received ack
2021-08-23 16:52:03.463, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:52:03.512, sent ack
2021-08-23 16:52:04.806, sent commodity read request
2021-08-23 16:52:04.975, received ack
2021-08-23 16:52:04.980, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:52:05.027, sent ack
2021-08-23 16:52:06.445, sent commodity read request
2021-08-23 16:52:06.630, waiting for message timeout -- Timout!
2021-08-23 16:52:06.695, received ack
2021-08-23 16:52:06.700, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:52:06.747, sent ack
2021-08-23 16:52:08.118, sent commodity read request
2021-08-23 16:52:08.312, received ack
2021-08-23 16:52:08.317, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:52:08.365, sent ack
2021-08-23 16:52:09.029, sent commodity read request
2021-08-23 16:52:09.166, waiting for message timeout -- Timout!
2021-08-23 16:52:09.227, received ack
2021-08-23 16:52:09.237, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:52:09.285, sent ack
2021-08-23 16:52:09.838, sent commodity read request
2021-08-23 16:52:09.951, received ack
2021-08-23 16:52:10.057, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:52:10.106, sent ack
2021-08-23 16:52:10.654, sent commodity read request
2021-08-23 16:52:10.772, received ack
2021-08-23 16:52:10.879, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:52:10.930, sent ack
2021-08-23 16:52:11.330, waiting for message timeout -- Timout!
2021-08-23 16:52:11.358, sent commodity read request
2021-08-23 16:52:11.493, received ack
2021-08-23 16:52:11.600, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:52:11.648, sent ack
2021-08-23 16:52:11.910, sent commodity read request
2021-08-23 16:52:12.048, waiting for message timeout -- Timout!
2021-08-23 16:52:12.108, received ack
2021-08-23 16:52:12.215, received commodity read response args ==> reserved=default; intermediate_response_code=success; commodity_code=electricity consumed; instantaneous_rate=default; cumulative_amount=default
2021-08-23 16:52:12.264, sent ack
2021-08-23 16:52:12.566, sent commodity read request
2021-08-23 16:52:12.665, waiting for message timeout -- Timout!
