
680368619.084,44400.636794953703703703703704,Recv,,/0x9/0x6/0x0/0x0/0x65/0xE0,Received message type supported query
680368619.121,44400.636795381944444444444444,Sent,/0x6/0x0,,Sent Link Ack
680368619.411,44400.636798738425925925925926,Recv,,/0x9/0x7/0x0/0x0/0x61/0xE3,Received message type supported query
680368619.451,44400.636799201388888888888889,Sent,/0x6/0x0,,Sent Link Ack
680368619.741,44400.636802557870370370370370,Recv,,/0x9/0x8/0x0/0x0/0x5D/0xE6,Received message type supported query
680368619.776,44400.636802962962962962962963,Sent,/0x6/0x0,,Sent Link Ack
680368620.069,44400.636806354166666666666667,Recv,,/0x9/0x9/0x0/0x0/0x59/0xE9,Received message type supported query
680368620.106,44400.636806782407407407407407,Sent,/0x6/0x0,,Sent Link Ack
680368620.398,44400.636810162037037037037037,Recv,,/0x9/0xA/0x0/0x0/0x55/0xEC,Received message type supported query
680368620.435,44400.636810590277777777777778,Sent,/0x6/0x0,,Sent Link Ack
680368620.724,44400.636813935185185185185185,Recv,,/0x9/0xB/0x0/0x0/0x51/0xEF,Received message type supported query
680368620.758,44400.636814328703703703703704,Sent,/0x6/0x0,,Sent Link Ack
680368621.053,44400.636817743055555555555556,Recv,,/0x9/0xC/0x0/0x0/0x4D/0xF2,Received message type supported query
680368621.090,44400.636818171296296296296296,Sent,/0x6/0x0,,Sent Link Ack
680368621.240,44400.636819907407407407407407,Recv,,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,Received a Device Info Request
680368621.293,44400.636820520833333333333333,Sent,/0x6/0x0,,Sent Link Ack
680368621.419,44400.636821979166666666666667,Sent,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x40/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0x2C/0x12,,Sent Device Info
680368621.631,44400.636824432870370370370370,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680369708.697,44400.649406215277777777777778,Recv,,/0x30/0x78/0x30/0x36/0x20/0x30/0x78/0x30/0x30/0xA,Error - Message did not match any known type
680369708.734,44400.649406643518518518518518,Sent,/0x15/0x6,,Sent Link Nak
