 , , Cumulative Amount,  Time
Commodity Code: ,7, 0, 0.546607650462963
Commodity Code: ,7, 0, 0.546646168981481
Commodity Code: ,7, 0, 0.546683483796296
Commodity Code: ,7, 0, 0.546721886574074
Commodity Code: ,7, 0, 0.546754664351852
Commodity Code: ,7, 0, 0.546791990740741
Commodity Code: ,7, 0, 0.546838657407407
Commodity Code: ,7, 0, 0.54687943287037
Commodity Code: ,7, 0, 0.546942430555556
Commodity Code: ,7, 0, 0.547001921296296
Commodity Code: ,7, 0, 0.547046481481481
Commodity Code: ,7, 0, 0.547086122685185
Commodity Code: ,7, 0, 0.547128287037037
Commodity Code: ,7, 0, 0.547176018518518
Commodity Code: ,7, 0, 0.547218032407407
Commodity Code: ,7, 0, 0.547254537037037
Commodity Code: ,7, 0, 0.547292037037037
Commodity Code: ,7, 0, 0.547320775462963
Commodity Code: ,7, 0, 0.547357118055556
Commodity Code: ,7, 0, 0.547412164351852
Commodity Code: ,7, 0, 0.547457488425926
Commodity Code: ,7, 0, 0.547502881944444
Commodity Code: ,7, 0, 0.547525347222222
Commodity Code: ,7, 0, 0.547534918981481
Commodity Code: ,7, 0, 0.547544131944444
Commodity Code: ,7, 0, 0.547565300925926
Commodity Code: ,7, 0, 0.547610752314815
Commodity Code: ,7, 0, 0.547723101851852
Commodity Code: ,7, 0, 0.547780740740741
Commodity Code: ,7, 0, 0.547839467592593
Commodity Code: ,7, 0, 0.547896446759259
Commodity Code: ,7, 0, 0.547955127314815
Commodity Code: ,7, 0, 0.548011782407407
Commodity Code: ,7, 0, 0.5480703125
Commodity Code: ,7, 0, 0.548128738425926
Commodity Code: ,7, 0, 0.548185717592593
Commodity Code: ,7, 0, 0.548244375
Commodity Code: ,7, 0, 0.548301180555556
Commodity Code: ,7, 0, 0.548359467592593
Commodity Code: ,7, 0, 0.548417766203704
Commodity Code: ,7, 0, 0.548475069444444
Commodity Code: ,7, 0, 0.54853369212963
Commodity Code: ,7, 0, 0.548591747685185
Commodity Code: ,7, 0, 0.548648796296296
Commodity Code: ,7, 0, 0.548707314814815
Commodity Code: ,7, 0, 0.548764305555556
Commodity Code: ,7, 0, 0.548822696759259
Commodity Code: ,7, 0, 0.548880023148148
Commodity Code: ,7, 0, 0.548938368055556
Commodity Code: ,7, 0, 0.548996712962963




