
671902607.458,44302.650549282407407407407407,Recv,/0x15/0x6,,Link Nak Received: 0x6 Unsupported Message Type
671902607.685,44302.650551909722222222222222,Sent,,/0x9/0x7/0x0/0x0/0x61/0xE3,Sent Message Supported Query
671902607.727,44302.650552395833333333333333,Recv,/0x15/0x6,,Link Nak Received: 0x6 Unsupported Message Type
671902607.945,44302.650554918981481481481482,Sent,,/0x9/0x8/0x0/0x0/0x5D/0xE6,Sent Message Supported Query
671902607.987,44302.650555405092592592592593,Recv,/0x15/0x6,,Link Nak Received: 0x6 Unsupported Message Type
671902608.203,44302.650557905092592592592593,Sent,,/0x9/0x9/0x0/0x0/0x59/0xE9,Sent Message Supported Query
671902608.246,44302.650558402777777777777778,Recv,/0x15/0x6,,Link Nak Received: 0x6 Unsupported Message Type
671902608.455,44302.650560821759259259259259,Sent,,/0x9/0xA/0x0/0x0/0x55/0xEC,Sent Message Supported Query
671902608.497,44302.650561307870370370370370,Recv,/0x15/0x6,,Link Nak Received: 0x6 Unsupported Message Type
671902608.714,44302.650563819444444444444444,Sent,,/0x9/0xB/0x0/0x0/0x51/0xEF,Sent Message Supported Query
671902608.756,44302.650564305555555555555556,Recv,/0x15/0x6,,Link Nak Received: 0x6 Unsupported Message Type
671902608.972,44302.650566805555555555555556,Sent,,/0x9/0xC/0x0/0x0/0x4D/0xF2,Sent Message Supported Query
671902609.014,44302.650567291666666666666667,Recv,/0x15/0x6,,Link Nak Received: 0x6 Unsupported Message Type
671902609.132,44302.650568657407407407407407,Sent,,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,Sent Device Info Query
671902609.242,44302.650569930555555555555556,Sent,,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,Sent Max Payload Query
671902609.380,44302.650571527777777777777778,Recv,/0x6/0x0,,Link Ack Received
671902687.783,44302.651478969907407407407407,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
671902687.825,44302.651479456018518518518518,Sent,,/0x6/0x0,Sent Link Ack
671902687.931,44302.651480682870370370370370,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
671902687.976,44302.651481203703703703703704,Sent,,/0x6/0x0,Sent Link Ack
671902688.096,44302.651482592592592592592593,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
671902688.146,44302.651483171296296296296296,Recv,/0x6/0x0,,Link Ack Received
671902688.250,44302.651484375,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
671902688.293,44302.651484872685185185185185,Sent,,/0x6/0x0,Sent Link Ack
671902688.400,44302.651486111111111111111111,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
671902688.473,44302.651486956018518518518518,Sent,,/0x6/0x0,Sent Link Ack
671902688.595,44302.651488368055555555555556,Sent,,/0x8/0x1/0x0/0x2/0x4/0x1/0x1/0x44,Sent Message Not Supported Application Nak
671902688.639,44302.651488877314814814814815,Recv,/0x6/0x0,,Link Ack Received
671902690.868,44302.651514675925925925925926,Recv,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Received Operational State Query
671902690.926,44302.651515347222222222222222,Sent,,/0x6/0x0,Sent Link Ack
671902691.046,44302.651516736111111111111111,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Replied to Operational State Query
671902691.108,44302.651517453703703703703704,Recv,/0x6/0x0,,Link Ack Received
671902691.198,44302.651518495370370370370370,Recv,/0x8/0x1/0x0/0x2/0x1/0x0/0xC/0x3D,,Shed Load command received. Duration = Unknown
671902691.243,44302.651519016203703703703704,Sent,,/0x6/0x0,Sent Link Ack
671902691.362,44302.651520393518518518518518,Sent,,/0x8/0x1/0x0/0x2/0x3/0x1/0x4/0x42,Sent Application Ack of command type: 0x1
671902691.423,44302.651521099537037037037037,Recv,/0x6/0x0,,Link Ack Received
671902691.514,44302.651522152777777777777778,Recv,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Received Operational State Query
671902691.557,44302.651522650462962962962963,Sent,,/0x6/0x0,Sent Link Ack
671902691.662,44302.651523865740740740740741,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Replied to Operational State Query
671902691.708,44302.651524398148148148148148,Recv,/0x6/0x0,,Link Ack Received
671902697.556,44302.651592083333333333333333,Recv,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Received Operational State Query
671902697.602,44302.651592615740740740740741,Sent,,/0x6/0x0,Sent Link Ack
671902697.707,44302.651593831018518518518518,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Replied to Operational State Query
671902697.756,44302.651594398148148148148148,Recv,/0x6/0x0,,Link Ack Received
671902702.896,44302.651653888888888888888889,Recv,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Received Operational State Query
671902702.939,44302.651654386574074074074074,Sent,,/0x6/0x0,Sent Link Ack
671902703.060,44302.651655787037037037037037,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Replied to Operational State Query
671902703.106,44302.651656319444444444444444,Recv,/0x6/0x0,,Link Ack Received
671902703.210,44302.651657523148148148148148,Recv,/0x8/0x1/0x0/0x2/0x17/0x0/0xC9/0x69,,Load Up command received. Duration = Unknown
671902703.255,44302.651658043981481481481482,Sent,,/0x6/0x0,Sent Link Ack
671902703.375,44302.651659432870370370370370,Sent,,/0x8/0x1/0x0/0x2/0x3/0x17/0xD7/0x58,Sent Application Ack of command type: 0x17
671902703.437,44302.651660150462962962962963,Recv,/0x6/0x0,,Link Ack Received
671902703.530,44302.651661226851851851851852,Recv,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Received Operational State Query
671902703.573,44302.651661724537037037037037,Sent,,/0x6/0x0,Sent Link Ack
671902703.679,44302.651662951388888888888889,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Replied to Operational State Query
671902703.723,44302.651663460648148148148148,Recv,/0x6/0x0,,Link Ack Received
671902706.149,44302.651691539351851851851852,Recv,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Received Operational State Query
671902706.192,44302.651692037037037037037037,Sent,,/0x6/0x0,Sent Link Ack
671902706.313,44302.6516934375,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Replied to Operational State Query
671902706.373,44302.651694131944444444444444,Recv,/0x6/0x0,,Link Ack Received
671902706.465,44302.651695196759259259259259,Recv,/0x8/0x1/0x0/0x2/0x1/0x0/0xC/0x3D,,Shed Load command received. Duration = Unknown
671902706.512,44302.651695740740740740740741,Sent,,/0x6/0x0,Sent Link Ack
671902706.630,44302.651697106481481481481482,Sent,,/0x8/0x1/0x0/0x2/0x3/0x1/0x4/0x42,Sent Application Ack of command type: 0x1
671902706.676,44302.651697638888888888888889,Recv,/0x6/0x0,,Link Ack Received
671902706.782,44302.651698865740740740740741,Recv,/0x8/0x1/0x0/0x2/0x12/0x0/0xD8/0x5F,,Received Operational State Query
671902706.825,44302.651699363425925925925926,Sent,,/0x6/0x0,Sent Link Ack
671902706.945,44302.651700752314814814814815,Sent,,/0x8/0x1/0x0/0x2/0x13/0x0/0xD5/0x61,Replied to Operational State Query
671902706.991,44302.651701284722222222222222,Recv,/0x6/0x0,,Link Ack Received
