
664894729.062,44221.540845625,Sent,,/0x6/0x0,Sent Link Ack
664894729.174,44221.540846921296296296296296,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664894729.219,44221.540847442129629629629630,Recv,/0x6/0x0,,Link Ack Received
664898068.248,44221.579493611111111111111111,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664898068.295,44221.579494155092592592592593,Sent,,/0x6/0x0,Sent Link Ack
664898068.403,44221.579495405092592592592593,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664898068.451,44221.579495960648148148148148,Sent,,/0x6/0x0,Sent Link Ack
664898068.562,44221.579497245370370370370370,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664898068.624,44221.579497962962962962962963,Recv,/0x6/0x0,,Link Ack Received
664898068.719,44221.5794990625,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664898068.765,44221.579499594907407407407407,Sent,,/0x6/0x0,Sent Link Ack
664898068.877,44221.579500891203703703703704,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664898068.923,44221.579501423611111111111111,Sent,,/0x6/0x0,Sent Link Ack
664898069.038,44221.579502754629629629629630,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664898069.081,44221.579503252314814814814815,Recv,/0x6/0x0,,Link Ack Received
664898397.297,44221.583302048611111111111111,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664898397.342,44221.583302569444444444444444,Sent,,/0x6/0x0,Sent Link Ack
664898397.452,44221.583303842592592592592593,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664898397.499,44221.583304386574074074074074,Sent,,/0x6/0x0,Sent Link Ack
664898397.608,44221.583305648148148148148148,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664898397.658,44221.583306226851851851851852,Recv,/0x6/0x0,,Link Ack Received
664898397.766,44221.583307476851851851851852,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664898397.811,44221.583307997685185185185185,Sent,,/0x6/0x0,Sent Link Ack
664898397.921,44221.583309270833333333333333,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664898397.967,44221.583309803240740740740741,Sent,,/0x6/0x0,Sent Link Ack
664898398.077,44221.583311076388888888888889,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664898398.137,44221.583311770833333333333333,Recv,/0x6/0x0,,Link Ack Received
664898499.435,44221.584484201388888888888889,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664898499.478,44221.584484699074074074074074,Sent,,/0x6/0x0,Sent Link Ack
